2024-06-07 20:55:47,345.bbq-producer-smoker.INFO ==================================================
2024-06-07 20:55:47,345.bbq-producer-smoker.INFO Today is 2024-06-07 at 08:55 PM
2024-06-07 20:55:47,345.bbq-producer-smoker.INFO Running on: nt Windows 11
2024-06-07 20:55:47,345.bbq-producer-smoker.INFO Python version:  3.12.1
2024-06-07 20:55:47,346.bbq-producer-smoker.INFO Python path: C:\Users\berek\streaming-06-smart-smoker\.venv
2024-06-07 20:55:47,346.bbq-producer-smoker.INFO Working dir: C:\Users\berek\streaming-06-smart-smoker
2024-06-07 20:55:47,346.bbq-producer-smoker.INFO ==================================================
2024-06-07 20:55:52,245.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:20:15', 84.2)
2024-06-07 20:56:22,247.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:20:20', 84.2)
2024-06-07 20:56:52,250.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:21:10', 87.6)
2024-06-07 20:57:22,259.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:21:15', 87.6)
2024-06-07 20:57:52,261.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:22:10', 86.3)
2024-06-07 20:58:22,263.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:22:15', 86.3)
2024-06-07 20:58:52,267.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:23:10', 92.0)
2024-06-07 20:59:22,271.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:23:15', 92.0)
2024-06-07 20:59:52,274.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:24:10', 96.8)
2024-06-07 21:00:22,275.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:24:15', 96.8)
2024-06-07 21:00:52,276.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:25:05', 100.6)
2024-06-07 21:01:22,277.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:25:10', 100.9)
2024-06-07 21:01:52,280.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:25:15', 100.9)
2024-06-07 21:02:22,282.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:26:10', 104.8)
2024-06-07 21:02:52,285.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:26:15', 104.8)
2024-06-07 21:03:22,288.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:27:10', 108.2)
2024-06-07 21:03:52,290.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:27:15', 108.2)
2024-06-07 21:04:22,292.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:28:10', 111.4)
2024-06-07 21:04:52,294.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:28:15', 111.4)
2024-06-07 21:05:22,297.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:29:10', 114.2)
2024-06-07 21:05:52,299.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:29:15', 114.2)
2024-06-07 21:06:22,302.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:30:10', 116.9)
2024-06-07 21:06:52,305.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:30:15', 116.9)
2024-06-07 21:07:22,307.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:31:10', 119.4)
2024-06-07 21:07:52,311.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:31:15', 119.4)
2024-06-07 21:08:22,313.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:32:10', 120.1)
2024-06-07 21:08:52,316.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:32:15', 120.1)
2024-06-07 21:09:22,319.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:33:10', 106.2)
2024-06-07 21:09:52,321.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:33:15', 106.2)
2024-06-07 21:10:22,324.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:34:10', 103.5)
2024-06-07 21:10:52,328.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:34:15', 103.5)
2024-06-07 21:11:22,330.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:35:10', 105.3)
2024-06-07 21:11:52,333.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:35:15', 105.3)
2024-06-07 21:12:22,335.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:36:10', 106.9)
2024-06-07 21:12:52,338.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:36:15', 106.9)
2024-06-07 21:13:22,340.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:37:10', 111.9)
2024-06-07 21:13:52,343.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:37:15', 111.9)
2024-06-07 21:14:22,346.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:38:10', 114.2)
2024-06-07 21:14:52,348.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:38:15', 114.2)
2024-06-07 21:15:22,351.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:39:10', 115.5)
2024-06-07 21:15:52,354.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:39:15', 115.5)
2024-06-07 21:16:22,357.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:40:10', 112.6)
2024-06-07 21:16:52,360.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:40:15', 112.6)
2024-06-07 21:17:22,363.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:41:10', 118.8)
2024-06-07 21:17:52,366.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:41:15', 118.8)
2024-06-07 21:18:22,369.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:42:10', 113.2)
2024-06-07 21:18:52,372.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:42:15', 113.2)
2024-06-07 21:19:22,373.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:43:10', 126.7)
2024-06-07 21:19:52,377.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:43:15', 126.7)
2024-06-07 21:20:22,379.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:44:10', 130.0)
2024-06-07 21:20:52,381.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:44:15', 130.0)
2024-06-07 21:21:22,384.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:45:10', 130.0)
2024-06-07 21:21:52,386.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:45:15', 130.0)
2024-06-07 21:22:22,388.bbq-producer-smoker.INFO  [x] Sent message to 01-smoker : ('05/22/21 12:46:10', 137.3)
